username,userid,profile_location,created_at,text,retweet_count,source,coordinates
Puget Sound Business Journal,23785621,Greater Seattle ,2009-03-11 16:24:24,There are hidden costs when requiring employees to come back to the office — and it's not just potentially missing… https://t.co/3h8Z4nR61K,0,True Anthem,
OpenHeartsBigDreams,762546046354329600,"Seattle, WA",2016-08-08 07:08:39,"Explore a remote mountain paradise in this week's #FeaturedTitle: Let's Go To Maji. The sounds of Dizin songs, leop… https://t.co/Ab8SdStLLf",1,Hootsuite Inc.,
MagooniganMarie,2996297634,"Seattle, WA",2015-01-26 00:40:55,@TMElectronics I bought a ROKU remote from you that took two weeks to arrive and then I still had to pay extra for… https://t.co/DxMwt4jbt5,0,Twitter for iPhone,
BrotherJohnW,3344893993,Seattle,2015-08-26 04:54:57,@its_the_Dr Pilots would have remote control from ground.,0,Twitter for iPad,
Alex Jin,3119455371,Seattle,2015-03-26 19:19:28,"@ntkris Along with all the services you need like bookkeeping, incorporation, filing tax credits, payroll, hiring r… https://t.co/NDQa2HK4t7",0,Twitter for iPhone,
EIFY,18295505,Seattle,2008-12-21 23:36:28,@fchollet Sci-Fi thriller plot: formerly-unknown molecular biologist made several major breakthroughs in genetic en… https://t.co/VPvUnsU93j,0,Twitter Web App,
Andrew G.,22039951,"Seattle, WA, USA",2009-02-26 18:09:40,Great thread on remote work https://t.co/Z7xySnQQS8,0,Twitter Web App,
ISO Standard Werewolf,131067960,"Seattle, WA",2010-04-09 04:57:54,@AlphaWuffeh Perma remote for life!!,0,Twitter for iPhone,
ΛLPHΛ,347585268,"Redmond, WA",2011-08-03 01:18:32,I’m over this “hybrid work” bs. That’s basically “come in whenever you feel like it” which means nobody comes in at… https://t.co/icMAnRlNvE,1,Twitter for iPhone,
Ollie McSqueeb,81928753,"Seattle, WA",2009-10-12 21:07:10,@catbythetail2 @leejams62 @BrandiKruse I worked down there today. It’s nowhere near the horror story people make of… https://t.co/gljM4cfzZn,0,Twitter for iPhone,
KOMO News,16086928,"Seattle, WA",2008-09-01 19:48:55,A woman found dead in a remote area of Arizona has finally been positively identified after more than half a centur… https://t.co/MnbbZjsdjT,1,TweetDeck,
Arts Corps,64962347,"Seattle, WA",2009-08-12 06:38:13,"Paid youth internship!

@stories_south is looking for collaborative and passionate young people who are interested… https://t.co/WmI4C5OnbU",0,Twitter for iPhone,
AlgosRus.com,946738256774705153,"Seattle, WA",2017-12-29 13:42:44,Want to enjoy a better work-life balance and experience the freedom of working from anywhere? Check out our remote… https://t.co/Yhx6DBKYPg,0,Twitter Web App,
AlgosRus.com,946738256774705153,"Seattle, WA",2017-12-29 13:42:44,"Want to work with some of the top companies in your industry, without ever having to leave your house? Join our rem… https://t.co/Dxiq3yAMH0",0,Twitter Web App,
Jordan Mychal Lemos,3306440342,"Seattle, WA",2015-08-05 00:09:23,"@HarrisonBurd97 Only reason I was able to finally break into AAA is because they were helping with relocation, thou… https://t.co/JWJljhRNJl",0,TweetDeck,
PNWtexan,701240561085251584,"Seattle, WA",2016-02-21 03:02:32,"So there is no ambiguity @DOJCrimDiv   

What is the amount of personal wealth needed to buy secrecy, steal from th… https://t.co/vJLVb68XHV",0,Twitter Web App,
gia,62412015,SEATTLE,2009-08-03 02:21:33,a lot of people need to do more than touch grass. they need to go to a remote cabin on the lake and spend several d… https://t.co/2kgct4wBcm,0,Twitter for iPhone,
Troy Magennis,42534756,"Seattle, WA, USA",2009-05-26 01:32:29,"I'm in the ""it depends"" camp. Not always WFH and not always remote. Both need boundaries and tools to be effective.… https://t.co/21j65Qybh3",0,Twitter for Android,
kala,224486625,"Seattle, WA",2010-12-09 03:57:57,"She made over 250k in a Pandemic situation and will be sharing her story.

If your interested in working remote and… https://t.co/h8z2gAA3JF",0,Twitter for iPhone,
Marc G.,710948214,"Bellevue, WA",2012-07-22 16:45:13,"Creating a fantastic remote work culture isn't easy. With no foundation to build upon, it could feel like your new… https://t.co/217PWZJ6Gu",0,SocialShare PRD,
Microsoft Remote Desktop Clients,936164244856324096,"Redmond, WA",2017-11-30 09:25:23,Version 1.2.3916 of the Windows Desktop client (MSRDC) for #AVD has been released to the Insider user group. See wh… https://t.co/6daXlluI2y,3,Twitter Web App,
Nick Hanauer,84957890,Seattle,2009-10-24 22:58:34,"Remote work makes conventions and gatherings MORE important, not less. https://t.co/6Kfmw8r1sa",4,Twitter Web App,
Jdc,16117461,Seattle,2008-09-03 18:56:39,@KlipschAudio Ordered heritage speakers as a gift to myself.  Remote does not turn on--not a battery problem.  It i… https://t.co/24jS5hsvfW,0,Twitter Web App,
zoggins,42227641,"Redmond, WA",2009-05-24 15:28:25,"Next office move I have to choose fully remote or open space, this is a pretty easy decision.",0,Twitter Web App,
TMJ - SEA IT Jobs,21676969,USA-WA-Seattle Metro,2009-02-23 18:26:40,"If you're looking for work in #Seattle, WA, check out this #techjobs job via the link in our bio: Solution Architec… https://t.co/e7FEdGRQLG",0,CareerArc 2.0,"{'type': 'Point', 'coordinates': [-122.3456919, 47.6288591]}"
Zack Jackson,1006610672220889088,"Redmond, WA",2018-06-12 18:54:20,"@razzmattazzz @mjackson No, when the value of a remote is “promise new promise()” custom connection code between im… https://t.co/NDaui30HZs",0,Twitter for iPhone,
Katie Marie (she/her),1309621123307335680,"Seattle, WA",2020-09-25 22:29:53,@smashingmag Also…. Anyone in Seattle joining online? Maybe we can create our own mini remote group or all meet up!,0,Twitter Web App,
Lee Jensen,543183625,"Seattle, WA",2012-04-02 07:09:13,@cactusflamingo_ All the more reason to be remote and WFH! No reason why people need to be stranded by public trans… https://t.co/vWygxoQpuC,0,Twitter for Android,
Hyperproof,1024615155005501440,"Bellevue, WA",2018-08-01 11:17:44,Help wanted (please). We are looking for a Senior Graphic Designer to join our fully-remote team! Apply today:… https://t.co/Gp1xM7h3wS,0,Oktopost,
MCW EVENTS,216476893,Seattle,2010-11-16 20:53:31,Individual business travel and small internal meetings by companies bringing remote workers together represent the… https://t.co/ybUXt71zE3,0,Hootsuite Inc.,
Lynn Tryon,183630139,"Bellevue, WA",2010-08-27 13:55:16,"Come join a great company and team here at Ensono.
 
 Ensono is hiring a Mainframe Technical Advisor- United States… https://t.co/pOfxNCgtqi",0,LinkedIn,
Metzano,3288093470,"Seattle, WA",2015-07-23 01:48:27,"Labor shortage, remote work boosted employment of people with disabilities https://t.co/cN7xwXoZW0 #MTZO",0,IFTTT,
SeahawksFan,976899211684757504,"Seattle, WA",2018-03-22 19:11:36,@theverybest5000 you can add me! i always remote raid - 5184 5341 8767,0,Twitter Web App,
Kevin Cooke.,254992640,Sussex-by-the-Sea,2011-02-20 12:49:17,"@PennineThe Reminds me of the lonely, solitary, isolation of 'Bell House', remote above Mytholmroyd, once the 18th… https://t.co/XOcglhRP6I",0,Twitter Web App,
IPHC,2194999656,"Seattle, WA",2013-11-14 23:06:44,The 99th Session of the IPHC Annual Meeting (AM099) continues Tuesday. Visit the webpage to register for remote par… https://t.co/Y3jtIjibU2,2,Constant Contact - Social Posts,
Microsoft 365,898250146797846528,"Redmond, WA",2017-08-17 18:28:18,"The future of collaboration comes down to empowering employees with better tools and platforms. 

See how Microsoft… https://t.co/7TsuhFpQYV",3,Sprinklr Publishing,
myPRwire,3987328893,"Bellevue, WA",2015-10-18 13:53:27,"#Trending TikTok Tells Remote Workers They Could Lose Jobs If Not Near Office https://t.co/OLSBphqNW8, see more https://t.co/ti2ebiv3qQ",0,The Tweeted Times,
Zack Jackson,1006610672220889088,"Redmond, WA",2018-06-12 18:54:20,@einarq @anthony_hagi Yeah so you need to run the custom promise logic to resolve the remote like webpack does at r… https://t.co/9XcQELTkK3,0,Twitter for iPhone,
NotificationBell,1487684344017682432,"Edmonds, WA",2022-01-30 07:11:30,"Yeah, I think it's a mixed arrangement and your staying in one location. I mean your definitely not driving too far… https://t.co/ahQu9lRRdB",0,Twitter Web App,
Zack Jackson,1006610672220889088,"Redmond, WA",2018-06-12 18:54:20,@einarq @anthony_hagi I’ll read it tomorrow. Is this in cases where you don’t use import and don’t list the remote… https://t.co/yRUahpdzCB,0,Twitter for iPhone,
myPRwire,3987328893,"Bellevue, WA",2015-10-18 13:53:27,TikTok reportedly threatened to terminate remote employees who don't live near their assigned office location https://t.co/1K7uUANVDY,0,IFTTT,
Jim Bennett,273768729,"Redmond, WA",2011-03-29 03:47:09,"@adpead USB powered, with a separate battery powered remote.",0,Twitter for iPhone,
Anissa,1284254611,"Seattle, WA",2013-03-20 20:47:55,"They constantly change colors. Is mesmerizing. 

The broke ass hbo max app wouldn’t auto play my next episode but I… https://t.co/CQlgMwxymQ",0,Twitter for iPhone,
BreathableMask,1461581457722249217,"Seattle, WA",2021-11-19 06:26:15,"@cruickshank Has any Seattle democrat stood up for kids in the past three years? Closed schools, closed libraries,… https://t.co/r9sduJ7y2W",0,Twitter for iPhone,
Jack Tremper,24096763,"Seattle, WA",2009-03-13 01:34:12,"@Mr_Burhenn I’ve basically been full time remote since March 2020. I had a full home office, but we shifted our kid… https://t.co/NKnPalgJ3o",0,Twitter Web App,
MintyHawk,1519021937724338176,"Seattle, WA",2022-04-26 18:33:57,"@Duderichy Ah, ok - still, in the age of remote/hybrid……",0,Twitter for iPad,
triggXR,14891501,"Seattle, WA",2008-05-24 14:46:14,@danielthedaring Happened to me one time. I found a new place to live by the end of the month. I moved to a remote… https://t.co/IrPA92evUN,0,Twitter for iPhone,
Jim Bennett,273768729,"Redmond, WA",2011-03-29 03:47:09,Got it set up and so far it’s lovely. Still need time to find an optimal color temperature and brightness (these ar… https://t.co/ihyLaLfzmX,0,Twitter for iPhone,
Suren Aghajanyan,86197831,"Seattle, WA",2009-10-30 00:05:05,"EU is sweeping an era of “small”leaders, doing others bidding in detriment of their own. On side note, social engin… https://t.co/xEnEbX2YKc",0,Twitter for iPhone,
Jim Bennett,273768729,"Redmond, WA",2011-03-29 03:47:09,First impressions when unboxing: it’s nice! Nice packaging with all the plastic clearly marked as recyclable (which… https://t.co/mxQGCGr6Kv,0,Twitter for iPhone,
Zack Jackson,1006610672220889088,"Redmond, WA",2018-06-12 18:54:20,Finally got delegate modules working in a backward compatible way with next.js “promise” based remote container loa… https://t.co/8ocrBzzIEU,2,Twitter for iPhone,
Late Stage Millennial,1429148504,"Seattle, WA",2013-05-15 00:18:26,Work mockumentary for remote work. Would it be boring really quickly… or hysterical.,0,Twitter for iPhone,
"Joshua Stubbles, aka: GOAT-KING",250013178,"Seattle, WA",2011-02-10 06:55:59,"@geeklywhimsical Ugh, sorry! I wish we had some animation positions to toss at ya. We're doing a lot of remote work… https://t.co/RlhM97RqOO",0,Twitter Web App,
TMJ - SEA IT Jobs,21676969,USA-WA-Seattle Metro,2009-02-23 18:26:40,"Interested in a job in #Seattle, WA? This could be a great fit. Click the link in our bio to apply: Site reliabilit… https://t.co/HivCKE1mBM",0,CareerArc 2.0,"{'type': 'Point', 'coordinates': [-122.3320708, 47.6062095]}"
Steven Halliwell,573335341,"Seattle, WA",2012-05-07 05:45:58,@Kdenkss @__472F France washing their hands of an economic basket case is not a loss for them. They also no longer… https://t.co/TCbNVzXJBP,0,Twitter Web App,
AlgosRus.com,946738256774705153,"Seattle, WA",2017-12-29 13:42:44,Don't let location hold you back from reaching your career goals. Join our remote work community today. #remotework… https://t.co/7R2ViN3uRE,0,Twitter Web App,
AlgosRus.com,946738256774705153,"Seattle, WA",2017-12-29 13:42:44,Flexibility and freedom are just a click away with our remote work opportunities. Check out our website and apply n… https://t.co/sxkuWsLG8A,0,Twitter Web App,
MontyCloud,1014083750794182657,"Seattle, WA",2018-07-03 09:49:41,MontyCloud is #hiring! We are looking for a Quality Assurance Analyst in India (remote). Please click below to appl… https://t.co/qBIfTQWo7k,5,HubSpot,
Washington Finance,234256750,Washington,2011-01-05 05:57:23,"Have you ever had a role like ""business analysis manager, U.S. Retail Labor (West Coast Remote)""? What did you like… https://t.co/obj2Jfp37Y",0,CareerArc 2.0,"{'type': 'Point', 'coordinates': [-122.3356196, 47.5802366]}"
Cory Nelson - @scalablecory@dotnet.social,58051361,"Redmond, WA",2009-07-18 22:39:15,"Know anyone affected by the recent Sting concert?

I'm filling out some additional roles for my new team. Looking f… https://t.co/OVyXi9vkzH",5,Twitter Web App,
Tryten,398913456,"Seattle, WA",2011-10-26 18:37:47,It's essential for #Healthcare practices to provide accessible #VideoRemoteInterpreting services for deaf and hard-… https://t.co/1kHQzICEli,0,Twitter Web App,
teena thach 🌙,57280645,tacoma/seattle,2009-07-16 08:29:28,"Looking for a Starbucks store partner that loves social media, especially IG and FB. This partner will work beside… https://t.co/nINJLXsTJ3",12,Twitter Web App,
Geekly Whimsical,28014371,"Seattle, Washington",2009-04-01 01:09:43,I’m also very disappointed that most studios have decided against opening up to remote work. I’ll have an initial h… https://t.co/TXVN47B6Yt,0,Twitter for iPhone,
Marc Goodner,231930043,"Kirkland, WA",2010-12-29 21:22:25,"This shows cross compiling, then deploy/debug to a remote target. While here we show a Raspberry Pi the same approa… https://t.co/BxihojM1VG",0,Twitter Web App,
Marc Goodner,231930043,"Kirkland, WA",2010-12-29 21:22:25,"New writeup on how to use VS/VSCode with a Dev Container to deploy/debug to a Raspberry Pi.
https://t.co/2mqMEpJxts",2,Twitter Web App,
Lokender (Loki) S.,125575428,"Seattle, WA",2010-03-23 06:30:01,@glenngabe Open to remote?,0,Twitter for Android,
TINYpulse,838879130,"Seattle, WA",2012-09-22 01:40:32,Struggling to engage a remote workforce? | Employee Engagement Software | TINYpulse https://t.co/72sPEtxfIo,0,HubSpot,
Jeffrey Hulten,12951352,"Seattle, WA",2008-02-01 17:24:36,"RT @davetroy@toad.social
📢 I'm hiring a senior Rails engineer for remote full-time work. Should have some familiari… https://t.co/QFwY1up1pz",1,Moa Bridge,
TMJ - SEA IT Jobs,21676969,USA-WA-Seattle Metro,2009-02-23 18:26:40,"We're hiring in #Seattle, WA! Click the link in our bio to apply to this job and more: engineer lead (platform engi… https://t.co/jmNVMZsNNN",0,CareerArc 2.0,"{'type': 'Point', 'coordinates': [-122.3356196, 47.5802366]}"
